date,city,country,confirmed,deaths,recovered,lat,long
3/12/20,Unknown,Afghanistan,7,0,0,33,65
3/12/20,Unknown,Albania,23,1,0,41.1533,20.1683
3/12/20,Unknown,Algeria,24,1,8,28.0339,1.6596
3/12/20,Unknown,Andorra,1,0,1,42.5063,1.5218
3/12/20,Unknown,Argentina,19,1,0,-38.4161,-63.6167
3/12/20,Unknown,Armenia,4,0,0,40.0691,45.0382
3/12/20,Unknown,Austria,302,1,4,47.5162,14.5501
3/12/20,Unknown,Azerbaijan,11,0,3,40.1431,47.5769
3/12/20,Unknown,Bahrain,195,0,35,26.0275,50.55
3/12/20,Unknown,Bangladesh,3,0,0,23.685,90.3563
3/12/20,Unknown,Belarus,12,0,3,53.7098,27.9534
3/12/20,Brussels,Belgium,314,3,1,50.8333,4
3/12/20,Unknown,Bhutan,1,0,0,27.5142,90.4336
3/12/20,Unknown,Bolivia,2,0,0,-16.2902,-63.5887
3/12/20,Unknown,Bosnia and Herzegovina,11,0,0,43.9159,17.6791
3/12/20,Unknown,Brazil,52,0,0,-14.235,-51.9253
3/12/20,Unknown,Brunei,11,0,0,4.5353,114.7277
3/12/20,Unknown,Bulgaria,7,1,0,42.7339,25.4858
3/12/20,Unknown,Burkina Faso,2,0,0,12.2383,-1.5616
3/12/20,Kampong Chhnang,Cambodia,3,0,1,12.5657,104.991
3/12/20,Unknown,Cameroon,2,0,0,3.848,11.5021
3/12/20,Unknown,Chile,23,0,0,-35.6751,-71.543
3/12/20,Unknown,Colombia,9,0,0,4.5709,-74.2973
3/12/20,Unknown,Congo (Kinshasa),1,0,0,-4.0383,21.7587
3/12/20,Unknown,Costa Rica,22,0,0,9.7489,-83.7534
3/12/20,Unknown,Cote d'Ivoire,1,0,0,7.54,-5.5471
3/12/20,Unknown,Croatia,19,0,0,45.1667,15.5
3/12/20,Unknown,Cuba,3,0,0,22,-80
3/12/20,Unknown,Cyprus,6,0,0,35.1264,33.4299
3/12/20,Unknown,Dominican Republic,5,0,0,18.7357,-70.1627
3/12/20,Unknown,Ecuador,17,0,0,-1.8312,-78.1834
3/12/20,Unknown,Egypt,67,1,27,26,30
3/12/20,Unknown,Estonia,16,0,0,58.5953,25.0136
3/12/20,Kajaani,Finland,59,0,1,64,26
3/12/20,Unknown,French Guiana,5,0,0,3.9339,-53.1258
3/12/20,Unknown,Georgia,24,0,0,42.3154,43.3569
3/12/20,Kassel,Germany,2078,3,25,51,9
3/12/20,Unknown,Greece,99,1,0,39.0742,21.8243
3/12/20,Unknown,Guyana,1,1,0,5,-58.75
3/12/20,Unknown,Holy See,1,0,0,41.9029,12.4534
3/12/20,Unknown,Honduras,2,0,0,15.2,-86.2419
3/12/20,Unknown,Hungary,13,0,0,47.1625,19.5033
3/12/20,Unknown,Iceland,103,0,1,64.9631,-19.0208
3/12/20,Nagpur,India,73,1,4,21,78
3/12/20,Unknown,Indonesia,34,1,2,-0.7893,113.9213
3/12/20,Unknown,Iraq,71,8,15,33,44
3/12/20,Unknown,Ireland,43,1,0,53.1424,-7.6921
3/12/20,Unknown,Israel,131,0,4,31,35
3/12/20,Arezzo,Italy,12462,827,1045,43,12
3/12/20,Unknown,Jamaica,2,0,0,18.1096,-77.2975
3/12/20,Unknown,Jordan,1,0,0,31.24,36.51
3/12/20,Daegu,South Korea,7869,66,333,36,128
3/12/20,Unknown,Kuwait,80,0,5,29.5,47.75
3/12/20,Unknown,Latvia,10,0,1,56.8796,24.6032
3/12/20,Unknown,Lebanon,61,3,1,33.8547,35.8623
3/12/20,Unknown,Liechtenstein,1,0,0,47.14,9.55
3/12/20,Unknown,Lithuania,3,0,0,55.1694,23.8813
3/12/20,Unknown,Luxembourg,19,0,0,49.8144,6.1317
3/12/20,Sibu,Malaysia,149,0,26,2.5,112.5
3/12/20,Unknown,Maldives,8,0,0,3.2028,73.2207
3/12/20,Unknown,Malta,6,0,0,35.9375,14.3754
3/12/20,Unknown,Martinique,3,0,0,14.6415,-61.0242
3/12/20,Fresnillo,Mexico,12,0,4,23,-102
3/12/20,Unknown,Moldova,3,0,0,47.4116,28.3699
3/12/20,Unknown,Monaco,2,0,0,43.7333,7.4167
3/12/20,Unknown,Mongolia,1,0,0,46.8625,103.8467
3/12/20,Unknown,Morocco,6,1,0,31.7917,-7.0926
3/12/20,Pokhara,Nepal,1,0,1,28.3949,84.124
3/12/20,Unknown,Netherlands,503,5,0,52.1326,5.2913
3/12/20,Unknown,New Zealand,5,0,0,-40.9006,174.886
3/12/20,Unknown,Nigeria,2,0,0,9.082,8.6753
3/12/20,Unknown,North Macedonia,7,0,0,41.6086,21.7453
3/12/20,Unknown,Norway,702,0,1,60.472,8.4689
3/12/20,Unknown,occupied Palestinian territory,0,0,0,31.9522,35.2332
3/12/20,Dawwah,Oman,18,0,9,21,57
3/12/20,Quetta,Pakistan,20,0,2,30.3753,69.3451
3/12/20,Unknown,Panama,11,1,0,8.538,-80.7821
3/12/20,Unknown,Paraguay,5,0,0,-23.4425,-58.4438
3/12/20,Unknown,Peru,15,0,0,-9.19,-75.0152
3/12/20,Boac,Philippines,52,2,2,12.8797,121.774
3/12/20,Unknown,Poland,49,1,0,51.9194,19.1451
3/12/20,Unknown,Portugal,59,0,0,39.3999,-8.2245
3/12/20,Unknown,Qatar,262,0,0,25.3548,51.1839
3/12/20,Reunion,France,1,0,0,-21.1151,55.5364
3/12/20,Reunion,Romania,49,0,6,46,25
3/12/20,Unknown,Russia,28,0,3,60,90
3/12/20,Unknown,San Marino,69,3,0,43.9424,12.4578
3/12/20,Unknown,Saudi Arabia,45,0,1,24,45
3/12/20,Unknown,Senegal,4,0,1,14.4974,-14.4524
3/12/20,Unknown,Serbia,19,0,0,44.0165,21.0059
3/12/20,Singapore,Singapore,178,0,96,1.2833,103.8333
3/12/20,Unknown,Slovakia,16,0,0,48.669,19.699
3/12/20,Unknown,Slovenia,89,0,0,46.1512,14.9955
3/12/20,Unknown,South Africa,17,0,0,-30.5595,22.9375
3/12/20,Madrid,Spain,2277,55,183,40,-4
3/12/20,Unknown,Sri Lanka,2,0,1,7.8731,80.7718
3/12/20,Unknown,Sweden,599,1,1,63,16
3/12/20,Unknown,Switzerland,652,4,4,46.8182,8.2275
3/12/20,Lop Buri,Thailand,70,1,34,15.87,100.9925
3/12/20,Unknown,Togo,1,0,0,8.6195,0.8248
3/12/20,Unknown,Tunisia,7,0,0,33.8869,9.5375
3/12/20,Unknown,Turkey,1,0,0,38.9637,35.2433
3/12/20,Unknown,Ukraine,1,0,0,48.3794,31.1656
3/12/20,Hubei,China,67781,3056,50318,30.9756,112.2707
3/12/20,Khomeyni Shahr,Iran,10075,429,2959,32,53
3/12/20,France,France,2281,48,12,46.2276,2.2137
3/12/20,Guangdong,China,1356,8,1289,23.3417,113.4244
3/12/20,Henan,China,1273,22,1249,33.882,113.614
3/12/20,Zhejiang,China,1215,1,1197,29.1832,120.0934
3/12/20,Hunan,China,1018,4,999,27.6104,111.7088
3/12/20,Anhui,China,990,6,984,31.8257,117.2264
3/12/20,Jiangxi,China,935,1,934,27.614,115.7221
3/12/20,Shandong,China,760,6,734,36.3427,118.1498
3/12/20,Diamond Princess,Cruise Ship,696,7,325,35.4437,139.638
3/12/20,Tokyo,Japan,639,16,118,36,138
3/12/20,Jiangsu,China,631,0,629,32.9711,119.455
3/12/20,Denmark,Denmark,615,0,1,56.2639,9.5018
3/12/20,Chongqing,China,576,6,564,30.0572,107.874
3/12/20,Sichuan,China,539,3,498,30.6171,102.7103
3/12/20,Heilongjiang,China,482,13,441,47.862,127.7615
3/12/20,UK,United Kingdom,456,8,18,55.3781,-3.436
3/12/20,Washington,United States,442,31,1,47.4009,-121.4905
3/12/20,Beijing,China,435,8,334,40.1824,116.4142
3/12/20,Shanghai,China,344,3,321,31.202,121.4491
3/12/20,New York,United States,328,0,0,42.1657,-74.9481
3/12/20,Hebei,China,318,6,308,39.549,116.1306
3/12/20,Fujian,China,296,1,295,26.0789,117.9874
3/12/20,Guangxi,China,252,2,241,23.8298,108.7881
3/12/20,Shaanxi,China,245,2,232,35.1917,108.8701
3/12/20,California,United States,221,4,6,36.1162,-119.6816
3/12/20,Yunnan,China,174,2,170,24.974,101.487
3/12/20,Hainan,China,168,6,160,19.1959,109.7453
3/12/20,Guizhou,China,146,2,137,26.8154,106.8748
3/12/20,Tianjin,China,136,3,132,39.3054,117.323
3/12/20,Shanxi,China,133,0,132,37.5777,112.2922
3/12/20,Hong Kong,China,129,3,67,22.3,114.2
3/12/20,Gansu,China,127,2,88,37.8099,101.0583
3/12/20,Liaoning,China,125,1,112,41.2956,122.6085
3/12/20,Massachusetts,United States,108,0,1,42.2302,-71.5301
3/12/20,Prague,Czech Republic,94,0,0,49.8175,15.473
3/12/20,Jilin,China,93,1,91,43.6661,126.1923
3/12/20,Xinjiang,China,76,3,73,41.1129,85.2401
3/12/20,Inner Mongolia,China,75,1,71,44.0935,113.9448
3/12/20,Ningxia,China,75,0,72,37.2692,106.1655
3/12/20,New South Wales,Australia,65,2,4,-33.8688,151.2093
3/12/20,Abu Dhabi,United Arab Emirates,85,0,17,23.4241,53.8478
3/12/20,Taiwan,Taiwan,49,1,20,23.7,121
3/12/20,British Columbia,Canada,46,1,4,53.7267,-127.6476
3/12/20,Diamond Princess,United States,46,0,0,35.4437,139.638
3/12/20,Colorado,United States,45,0,0,39.0598,-105.3111
3/12/20,Ontario,Canada,42,0,4,51.2538,-85.3232
3/12/20,Florida,United States,35,2,0,27.7663,-81.6868
3/12/20,Illinois,United States,32,0,2,40.3495,-88.9861
3/12/20,Georgia,United States,31,1,0,33.0406,-83.6431
3/12/20,New Jersey,United States,29,1,0,40.2989,-74.521
3/12/20,Texas,United States,27,0,0,31.0545,-97.5635
3/12/20,Oregon,United States,24,0,0,44.572,-122.0709
3/12/20,Pennsylvania,United States,22,0,0,40.5908,-77.2098
3/12/20,Victoria,Australia,21,0,7,-37.8136,144.9631
3/12/20,Grand Princess,United States,21,0,0,37.6489,-122.6655
3/12/20,Queensland,Australia,20,0,8,-28.0167,153.4
3/12/20,Alberta,Canada,19,0,0,53.9333,-116.5765
3/12/20,Louisiana,United States,19,0,0,31.1695,-91.8678
3/12/20,Qinghai,China,18,0,18,35.7452,95.9956
3/12/20,Tennessee,United States,18,0,0,35.7478,-86.6923
3/12/20,Virginia,United States,17,0,0,37.7693,-78.17
3/12/20,Iowa,United States,16,0,0,42.0115,-93.2105
3/12/20,North Carolina,United States,15,0,0,35.6301,-79.8064
3/12/20,Nevada,United States,14,0,0,38.3135,-117.0554
3/12/20,Indiana,United States,13,0,0,39.8494,-86.2583
3/12/20,Maryland,United States,12,0,0,39.0639,-76.8021
3/12/20,South Carolina,United States,12,0,0,33.8569,-80.945
3/12/20,Macau,China,10,0,10,22.1667,113.55
3/12/20,District of Columbia,United States,10,0,0,38.8974,-77.0268
3/12/20,Kentucky,United States,10,0,0,37.6681,-84.6701
3/12/20,Nebraska,United States,10,0,0,41.1254,-98.2681
3/12/20,South Australia,Australia,9,0,2,-34.9285,138.6007
3/12/20,Western Australia,Australia,9,1,0,-31.9505,115.8605
3/12/20,Quebec,Canada,9,0,0,52.9399,-73.5491
3/12/20,Arizona,United States,9,0,1,33.7298,-111.4312
3/12/20,Minnesota,United States,9,0,0,45.6945,-93.9002
3/12/20,South Dakota,United States,8,1,0,44.2998,-99.4388
3/12/20,Wisconsin,United States,8,0,1,44.2685,-89.6165
3/12/20,Arkansas,United States,6,0,0,34.9697,-92.3731
3/12/20,New Hampshire,United States,6,0,0,43.4525,-71.5639
3/12/20,Connecticut,United States,5,0,0,41.5978,-72.7554
3/12/20,New Mexico,United States,5,0,0,34.8405,-106.2485
3/12/20,Ohio,United States,5,0,0,40.3888,-82.7649
3/12/20,Rhode Island,United States,5,0,0,41.6809,-71.5118
3/12/20,Utah,United States,5,0,0,40.15,-111.8624
3/12/20,Tasmania,Australia,3,0,0,-41.4545,145.9707
3/12/20,Faroe Islands,Denmark,2,0,0,61.8926,-6.9118
3/12/20,St Martin,France,2,0,0,18.0708,-63.0501
3/12/20,Hawaii,United States,2,0,0,21.0943,-157.4983
3/12/20,Michigan,United States,2,0,0,43.3266,-84.5361
3/12/20,Oklahoma,United States,2,0,0,35.5653,-96.9289
3/12/20,Vermont,United States,2,0,0,44.0459,-72.7107
3/12/20,Channel Islands,United Kingdom,2,0,0,49.3723,-2.3644
3/12/20,Northern Territory,Australia,1,0,0,-12.4634,130.8456
3/12/20,New Brunswick,Canada,1,0,0,46.5653,-66.4619
3/12/20,Tibet,China,1,0,1,31.6927,88.0924
3/12/20,Saint Barthelemy,France,1,0,0,17.9,-62.8333
3/12/20,Delaware,United States,1,0,0,39.3185,-75.5071
3/12/20,Kansas,United States,1,0,0,38.5266,-96.7265
3/12/20,Mississippi,United States,1,0,0,32.7416,-89.6787
3/12/20,Missouri,United States,1,0,0,38.4561,-92.2884
3/12/20,Montana,United States,1,0,0,46.9219,-110.4544
3/12/20,North Dakota,United States,1,0,0,47.5289,-99.784
3/12/20,Wyoming,United States,1,0,0,42.756,-107.3025
3/12/20,Gibraltar,United Kingdom,1,0,1,36.1408,-5.3536
3/12/20,From Diamond Princess,Australia,0,0,0,35.4437,139.638
3/12/20,Gansu,China,0,0,0,36.0611,103.8343
3/12/20,Hebei,China,0,0,0,38.0428,114.5149
3/12/20,Alaska,United States,0,0,0,61.3707,-152.4044
3/12/20,Idaho,United States,0,0,0,44.2405,-114.4788
3/12/20,Maine,United States,0,0,0,44.6939,-69.3819
3/12/20,West Virginia,United States,0,0,0,38.4912,-80.9545
3/12/20,Quang Ha,Vietnam,39,0,16,16,108
3/11/20,Unknown,Afghanistan,7,0,0,33,65
3/11/20,Unknown,Albania,12,1,0,41.1533,20.1683
3/11/20,Unknown,Algeria,20,0,0,28.0339,1.6596
3/11/20,Unknown,Andorra,1,0,0,42.5063,1.5218
3/11/20,Unknown,Argentina,19,1,0,-38.4161,-63.6167
3/11/20,Unknown,Armenia,1,0,0,40.0691,45.0382
3/11/20,Unknown,Austria,246,0,4,47.5162,14.5501
3/11/20,Unknown,Azerbaijan,11,0,3,40.1431,47.5769
3/11/20,Unknown,Bahrain,195,0,35,26.0275,50.55
3/11/20,Unknown,Bangladesh,3,0,0,23.685,90.3563
3/11/20,Unknown,Belarus,9,0,3,53.7098,27.9534
3/11/20,Brussels,Belgium,314,3,1,50.8333,4
3/11/20,Unknown,Bhutan,1,0,0,27.5142,90.4336
3/11/20,Unknown,Bolivia,2,0,0,-16.2902,-63.5887
3/11/20,Unknown,Bosnia and Herzegovina,7,0,0,43.9159,17.6791
3/11/20,Unknown,Brazil,38,0,0,-14.235,-51.9253
