country,lat,lon
Afghanistan,33,-98.61
Algeria,28.03,1.66
Andorra,42.51,1.52
Argentina,-38.42,-63.62
Armenia,40.07,45.04
Australia,-41.45,145.97
Austria,47.52,14.55
Azerbaijan,40.14,47.58
Bahrain,26.03,-98.61
Belarus,53.71,174.89
Belgium,50.83,4
Brazil,-14.24,-51.93
Cambodia,11.55,104.92
Canada,49.28,-123.12
Chile,-35.68,-71.54
Colombia,4.57,74.3
Croatia,45.1,15.5
Czech Republic,49.82,15.47
Denmark,56.26,21.75
Dominican Republic,18.74,-70.16
Ecuador,-1.83,-78.18
Egypt,26,30
Estonia,58.6,21.75
Finland,64,26
France,47,2
Georgia,42.32,43.36
Germany,48.79,11.5
Greece,39.07,21.82
Hong Kong,22.3,114.2
Iceland,64.96,24.97
India,21,78
Indonesia,-0.79,113.92
Iran,32,53
Iraq,33,44
Ireland,53.14,-7.69
Israel,35.44,139.64
Italy,43,12
Ivory Coast,7.54,5.55
Japan,36,138
Jordan,31.24,36.51
Kuwait,29.5,-98.61
Latvia,56.88,24.6
Lebanon,33.85,35.86
Lithuania,55.17,174.89
Luxembourg,49.81,-51.93
Macau,22.17,113.55
Mainland China,31.2,121.45
Malaysia,2.5,112.5
Mexico,23,-102
Monaco,43.73,7.42
Morocco,31.79,-7.09
Nepal,28.17,84.25
Netherlands,52.13,5.29
New Zealand,-40.9,174.89
Nigeria,9.08,174.89
North Ireland,54.79,6.49
North Macedonia,41.61,21.75
Norway,60.47,8.47
Oman,21,57
Others,35.44,139.64
Pakistan,30.38,69.35
Philippines,13,122
Portugal,39.4,-8.22
Qatar,25.35,51.18
Romania,45.94,25
Russia,60,90
San Marino,43.94,12.46
Saudi Arabia,24,45
Senegal,14.5,-14.45
Singapore,1.28,103.83
South Korea,36,128
Spain,40,-4
Sri Lanka,7,81
Sweden,63,16
Switzerland,46.82,8.23
Taiwan,23.7,121
Thailand,15,101
UK,55,-3
Ukraine,48.38,31.17
United Arab Emirates,24,54
United States,47.75,120.74
US,34.05,111.09
Vietnam,16,108
